,cafe_name,cafe_type,starring,visitor_review,blog_review,address,business_hours,phone_number,connection_site,description,menu,keyword,keyword_number,image_link
17,평화떡공방,떡카페,0.0,793,78,대구 남구 봉덕로 119 평화떡공방카페,08:00에 영업 시작,0507-1407-8576,,,,"{'특별한 메뉴가 있어요': 141, '친절해요': 128, '디저트가 맛있어요': 117, '매장이 청결해요': 84, '가성비가 좋아요': 64, '커피가 맛있어요': 20, '음료가 맛있어요': 19, '인테리어가 멋져요': 6, '사진이 잘 나와요': 4, '좌석이 편해요': 3, '주차하기 편해요': 2, '대화하기 좋아요': 2, '뷰가 좋아요': 2, '재료가 신선해요': 1, '선물하기 좋아요': 1, '집중하기 좋아요': 1, '화장실이 깨끗해요': 1}",399,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200301_102%2F1582996399568EijXj_JPEG%2FdXhpB_1j0DaK-hfYzR2yiUyl.jpg"""
18,백금당 대구앞산점,"카페,디저트",4.47,322,336,대구 남구 현충로 48,12:00에 영업 시작,0507-1440-0809,,,,,,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220124_134%2F1643030749513i54Jz_JPEG%2FKakaoTalk_20211114_231500072_25.jpg"""
19,"아티세리,베이킹스튜디오","카페,디저트",0.0,334,337,대구 남구 안지랑로15길 52-1 1층 101호,,0507-1447-0170,,,,"{'디저트가 맛있어요': 264, '인테리어가 멋져요': 157, '친절해요': 157, '특별한 메뉴가 있어요': 131, '커피가 맛있어요': 107, '매장이 청결해요': 97, '사진이 잘 나와요': 94, '음료가 맛있어요': 90, '대화하기 좋아요': 40, '가성비가 좋아요': 29, '주차하기 편해요': 21, '빵이 맛있어요': 16, '집중하기 좋아요': 15, '화장실이 깨끗해요': 15, '뷰가 좋아요': 7, '좌석이 편해요': 6, '아늑해요': 3, '주문제작을 잘해줘요': 1, '재료가 신선해요': 1, '음악이 좋아요': 1, '야외 공간이 멋져요': 1, '포장이 깔끔해요': 1, '비싼 만큼 가치있어요': 1, '종류가 다양해요': 1}",330,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220302_18%2F1646210653305uAXcx_JPEG%2Fimage.jpg"""
20,코지모먼트,"카페,디저트",0.0,440,85,대구 남구 큰골5길 25,11:00에 영업 시작,0507-1354-2658,,,,"{'디저트가 맛있어요': 349, '친절해요': 230, '커피가 맛있어요': 198, '음료가 맛있어요': 168, '매장이 청결해요': 163, '인테리어가 멋져요': 150, '대화하기 좋아요': 98, '특별한 메뉴가 있어요': 95, '사진이 잘 나와요': 61, '가성비가 좋아요': 45, '화장실이 깨끗해요': 37, '좌석이 편해요': 36, '집중하기 좋아요': 31, '주차하기 편해요': 8, '뷰가 좋아요': 7, '메뉴 구성이 알차요': 2, '아늑해요': 1, '음식이 맛있어요': 1, '재료가 신선해요': 1, '건강한 맛이에요': 1}",438,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230316_234%2F1678951100989WiGO6_JPEG%2F82D255B2-4D7B-4124-9089-3347A6535562.jpeg"""
21,고려베이커리,베이커리,0.0,10,176,대구 남구 자유6길 45-2,,053-624-0159,,,,,,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210930_83%2F1632983192228nHSyX_JPEG%2FtMxCFufRc1CteRPlXotKN_Yr.jpg"""
22,핸즈커피 앞산점,카페,0.0,927,116,대구 남구 앞산순환로 415 1층,10:00에 영업 시작,0507-1353-3325,,,,"{'커피가 맛있어요': 516, '인테리어가 멋져요': 238, '디저트가 맛있어요': 214, '매장이 청결해요': 203, '음료가 맛있어요': 173, '뷰가 좋아요': 151, '대화하기 좋아요': 143, '좌석이 편해요': 129, '주차하기 편해요': 129, '친절해요': 112, '화장실이 깨끗해요': 64, '사진이 잘 나와요': 56, '특별한 메뉴가 있어요': 52, '가성비가 좋아요': 27, '집중하기 좋아요': 22, '매장이 넓어요': 3, '아늑해요': 1, '음악이 좋아요': 1, '야외 공간이 멋져요': 1, '비싼 만큼 가치있어요': 1, '룸이 잘 되어있어요': 1, '오래 머무르기 좋아요': 1, '단체모임 하기 좋아요': 1}",895,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231103_243%2F1698990872086cNeWX_JPEG%2FKakaoTalk_20231103_145239314_02.jpg"""
23,마리아쥬커피,카페,0.0,219,99,대구 남구 대명남로 174-2,10:00에 영업 시작,0507-1409-6685,,,,"{'커피가 맛있어요': 101, '친절해요': 67, '대화하기 좋아요': 34, '디저트가 맛있어요': 31, '특별한 메뉴가 있어요': 18, '음료가 맛있어요': 17, '매장이 청결해요': 13, '인테리어가 멋져요': 12, '가성비가 좋아요': 8, '집중하기 좋아요': 8, '화장실이 깨끗해요': 6, '뷰가 좋아요': 6, '사진이 잘 나와요': 4, '오래 머무르기 좋아요': 2, '차분한 분위기에요': 1, '비싼 만큼 가치있어요': 1}",126,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160805_264%2F1470400680693M3KOk_JPEG%2F176755616820528_0.jpeg"""
24,빨간우체통,카페,4.77,197,32,대구 남구 앞산순환로 393 2 층,12:00에 영업 시작,053-654-7844,,,,"{'커피가 맛있어요': 62, '친절해요': 51, '뷰가 좋아요': 43, '인테리어가 멋져요': 32, '대화하기 좋아요': 27, '음료가 맛있어요': 14, '디저트가 맛있어요': 13, '좌석이 편해요': 12, '매장이 청결해요': 12, '가성비가 좋아요': 11, '사진이 잘 나와요': 10, '특별한 메뉴가 있어요': 6, '집중하기 좋아요': 5, '화장실이 깨끗해요': 5, '컨셉이 독특해요': 1, '아늑해요': 1, '야외 공간이 멋져요': 1, '주차하기 편해요': 1}",132,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220726_40%2F1658837528157kEIlX_JPEG%2FIMG_6840-1.jpg"""
25,포린,"카페,디저트",0.0,126,67,대구 남구 안지랑로5길 84 1층,12:00에 영업 시작,0507-1437-1142,,,,"{'인테리어가 멋져요': 85, '커피가 맛있어요': 54, '디저트가 맛있어요': 52, '친절해요': 52, '음료가 맛있어요': 44, '사진이 잘 나와요': 44, '매장이 청결해요': 34, '대화하기 좋아요': 16, '특별한 메뉴가 있어요': 15, '집중하기 좋아요': 13, '뷰가 좋아요': 12, '좌석이 편해요': 6, '주차하기 편해요': 6, '컨셉이 독특해요': 5, '화장실이 깨끗해요': 5, '음악이 좋아요': 4, '가성비가 좋아요': 2, '차분한 분위기에요': 1, '아늑해요': 1, '음식이 빨리 나와요': 1, '특별한 날 가기 좋아요': 1}",126,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220604_229%2F1654329303024BeKFy_JPEG%2FKakaoTalk_Photo_2022-06-04-16-54-38.jpeg"""
26,대명제과,베이커리,4.55,49,20,대구 남구 현충로 37-8 대명제과,12:00에 영업 시작,0507-1310-4969,,,,"{'빵이 맛있어요': 20, '친절해요': 13, '커피가 맛있어요': 9, '매장이 청결해요': 6, '음료가 맛있어요': 4, '가성비가 좋아요': 4, '좌석이 편해요': 2, '인테리어가 멋져요': 2, '주차하기 편해요': 2, '뷰가 좋아요': 2, '차분한 분위기에요': 1, '사진이 잘 나와요': 1, '특별한 메뉴가 있어요': 1, '집중하기 좋아요': 1, '대화하기 좋아요': 1}",25,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230227_184%2F1677429137431HCcwW_JPEG%2F626E2A25-474E-4E3C-9C4D-6C85AEF245A3.jpeg"""
27,별빛담아,케이크전문,0.0,17,353,대구 남구 안지랑로5길 10-1 별빛담아,09:00에 영업 시작,0507-1407-3421,,,,"{'특별한 메뉴가 있어요': 7, '선물하기 좋아요': 6, '친절해요': 6, '디저트가 맛있어요': 5, '매장이 청결해요': 3, '주차하기 편해요': 2, '커피가 맛있어요': 1, '주문제작을 잘해줘요': 1, '음식이 맛있어요': 1, '인테리어가 멋져요': 1, '사진이 잘 나와요': 1, '가성비가 좋아요': 1}",11,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221219_167%2F1671420381242LYMdc_JPEG%2FKakaoTalk_20221217_144544207.jpg"""
28,에이엣디,"카페,디저트",4.54,507,316,대구 남구 안지랑로5길 76 : 1~2층,11/17 휴무,010-7569-8485,,,,"{'커피가 맛있어요': 84, '디저트가 맛있어요': 59, '매장이 청결해요': 36, '음료가 맛있어요': 34, '인테리어가 멋져요': 34, '친절해요': 30, '특별한 메뉴가 있어요': 22, '대화하기 좋아요': 20, '사진이 잘 나와요': 18, '주차하기 편해요': 14, '화장실이 깨끗해요': 10, '가성비가 좋아요': 8, '뷰가 좋아요': 7, '좌석이 편해요': 3, '집중하기 좋아요': 1}",192,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200609_66%2F1591632776839IzMMr_JPEG%2FFEAMqdoSD3OzB-n3XX6mxfA7.jpg"""
29,쁨담케이크,케이크전문,0.0,65,83,대구 남구 대명복개로3길 34-1 1층(대명동),11:00에 영업 시작,0507-1311-1460,,,,"{'디저트가 맛있어요': 54, '친절해요': 43, '선물하기 좋아요': 38, '매장이 청결해요': 33, '특별한 메뉴가 있어요': 27, '가성비가 좋아요': 16, '사진이 잘 나와요': 13, '인테리어가 멋져요': 12, '주문제작을 잘해줘요': 6, '주차하기 편해요': 6, '음료가 맛있어요': 5, '특별한 날 가기 좋아요': 4, '종류가 다양해요': 4, '커피가 맛있어요': 3, '음식이 맛있어요': 3, '화장실이 깨끗해요': 2, '재료가 신선해요': 1, '메뉴 구성이 알차요': 1, '집중하기 좋아요': 1, '대화하기 좋아요': 1, '뷰가 좋아요': 1}",65,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230703_112%2F1688347364441CV2eo_JPEG%2FIMG_20230602_190750_742.jpg"""
30,스타벅스 대구앞산DT점,카페,4.54,4047,159,대구 남구 현충로 32,,1522-3232,,,,"{'커피가 맛있어요': 1253, '친절해요': 539, '음료가 맛있어요': 481, '주차하기 편해요': 369, '디저트가 맛있어요': 366, '매장이 청결해요': 359, '대화하기 좋아요': 309, '뷰가 좋아요': 233, '인테리어가 멋져요': 196, '좌석이 편해요': 185, '집중하기 좋아요': 150, '특별한 메뉴가 있어요': 137, '화장실이 깨끗해요': 137, '사진이 잘 나와요': 90, '가성비가 좋아요': 57, '차분한 분위기에요': 4, '매장이 넓어요': 4, '아늑해요': 1, '음악이 좋아요': 1, '비싼 만큼 가치있어요': 1, '오래 머무르기 좋아요': 1}",2376,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png"""
31,책상,"카페,디저트",0.0,118,142,대구 남구 안지랑로 26 1층,14:00에 영업 시작,010-2765-7692,,,,"{'커피가 맛있어요': 78, '친절해요': 72, '집중하기 좋아요': 59, '인테리어가 멋져요': 38, '대화하기 좋아요': 36, '음료가 맛있어요': 29, '특별한 메뉴가 있어요': 22, '매장이 청결해요': 19, '좌석이 편해요': 18, '디저트가 맛있어요': 18, '사진이 잘 나와요': 12, '차분한 분위기에요': 5, '가성비가 좋아요': 4, '주차하기 편해요': 3, '아늑해요': 2, '음악이 좋아요': 2, '뷰가 좋아요': 2, '읽을만한 책이 많아요': 1, '컨셉이 독특해요': 1, '화장실이 깨끗해요': 1}",116,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220415_254%2F1650009911772z93ay_JPEG%2F23EC5C99-8757-4377-930A-44681F053373.jpeg"""
32,카페 네쥬,"카페,디저트",4.65,663,883,대구 남구 중앙대로30길 37,12:00에 영업 시작,053-283-0405,,,,"{'디저트가 맛있어요': 276, '인테리어가 멋져요': 211, '커피가 맛있어요': 195, '사진이 잘 나와요': 148, '음료가 맛있어요': 145, '특별한 메뉴가 있어요': 111, '매장이 청결해요': 90, '뷰가 좋아요': 84, '대화하기 좋아요': 79, '친절해요': 78, '주차하기 편해요': 39, '집중하기 좋아요': 27, '화장실이 깨끗해요': 23, '좌석이 편해요': 21, '가성비가 좋아요': 13, '차분한 분위기에요': 1, '음식이 맛있어요': 1}",488,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230430_114%2F1682812920373dyFpJ_JPEG%2F0CC1989E-1187-48BC-96A1-7CB8480C626E.jpeg"""
33,소소우드,"카페,디저트",0.0,130,40,대구 남구 대륙2길 6 1층 소소우드,11:00에 영업 시작,0507-1423-7732,,,,"{'디저트가 맛있어요': 88, '친절해요': 84, '커피가 맛있어요': 73, '음료가 맛있어요': 62, '인테리어가 멋져요': 58, '사진이 잘 나와요': 55, '매장이 청결해요': 48, '대화하기 좋아요': 39, '화장실이 깨끗해요': 23, '집중하기 좋아요': 18, '가성비가 좋아요': 15, '좌석이 편해요': 11, '특별한 메뉴가 있어요': 9, '주차하기 편해요': 7, '차분한 분위기에요': 2, '아늑해요': 2, '뷰가 좋아요': 2, '빵이 맛있어요': 1, '양이 많아요': 1, '메뉴 구성이 알차요': 1, '건강한 맛이에요': 1, '차가 맛있어요': 1}",130,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230307_252%2F1678185002095c1jbe_JPEG%2FKakaoTalk_20230307_192933911.jpg"""
34,오어앤,"카페,디저트",0.0,25,38,대구 남구 안골길 49-1,12:00에 영업 시작,0507-1303-9844,,,,"{'디저트가 맛있어요': 17, '친절해요': 16, '커피가 맛있어요': 12, '매장이 청결해요': 12, '음료가 맛있어요': 6, '가성비가 좋아요': 6, '특별한 메뉴가 있어요': 6, '대화하기 좋아요': 4, '좌석이 편해요': 2, '사진이 잘 나와요': 2, '집중하기 좋아요': 2, '인테리어가 멋져요': 1, '주차하기 편해요': 1, '화장실이 깨끗해요': 1}",24,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230302_69%2F1677727701433OVUCU_JPEG%2F3C68A5AC-75E8-4C00-B236-4BD6C567C86E.jpeg"""
35,까또베이커리카페,베이커리,0.0,154,53,대구 남구 안골길 8 까또베이커리,08:00에 영업 시작,0507-1344-4050,,,,"{'빵이 맛있어요': 119, '친절해요': 66, '가성비가 좋아요': 63, '매장이 청결해요': 36, '커피가 맛있어요': 30, '특별한 메뉴가 있어요': 29, '음료가 맛있어요': 19, '주차하기 편해요': 7, '대화하기 좋아요': 5, '인테리어가 멋져요': 3, '건강한 맛이에요': 3, '화장실이 깨끗해요': 3, '좌석이 편해요': 2, '메뉴 구성이 알차요': 2, '집중하기 좋아요': 2, '종류가 다양해요': 2, '디저트가 맛있어요': 1, '양이 많아요': 1, '매장이 넓어요': 1, '뷰가 좋아요': 1}",146,
36,또다,"카페,디저트",0.0,63,7,대구 남구 대명로20길 85 1층,08:30에 영업 시작,070-4134-7281,,,,"{'디저트가 맛있어요': 49, '친절해요': 31, '커피가 맛있어요': 24, '매장이 청결해요': 18, '음료가 맛있어요': 16, '가성비가 좋아요': 13, '특별한 메뉴가 있어요': 7, '인테리어가 멋져요': 5, '대화하기 좋아요': 3, '집중하기 좋아요': 2, '빵이 맛있어요': 1, '좌석이 편해요': 1, '주차하기 편해요': 1, '화장실이 깨끗해요': 1}",62,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220505_293%2F1651760571154hN21I_JPEG%2F470975AC-576A-44A0-9252-A062AFAE7CBA.jpeg"""
37,시류,"카페,디저트",0.0,124,313,대구 남구 대봉로19길 6-3 1층(골목 안 빨간지붕),12:00에 영업 시작,0507-1331-3093,,,,"{'디저트가 맛있어요': 81, '커피가 맛있어요': 63, '인테리어가 멋져요': 59, '친절해요': 47, '특별한 메뉴가 있어요': 41, '사진이 잘 나와요': 35, '차분한 분위기에요': 23, '음료가 맛있어요': 22, '매장이 청결해요': 18, '집중하기 좋아요': 13, '뷰가 좋아요': 13, '빵이 맛있어요': 12, '대화하기 좋아요': 6, '차가 맛있어요': 3, '종류가 다양해요': 3, '좌석이 편해요': 2, '음식이 맛있어요': 2, '화장실이 깨끗해요': 2, '아늑해요': 1, '혼밥하기 좋아요': 1, '음악이 좋아요': 1, '주차하기 편해요': 1, '특별한 날 가기 좋아요': 1}",123,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231102_46%2F1698912590537SwxvP_JPEG%2FIMG_7643.jpeg"""
38,떠나펫 대구앞산본점,"카페,디저트",0.0,46,30,대구 남구 현충로5길 104 1층,11/17 휴무,0507-1353-5187,,,,"{'커피가 맛있어요': 31, '반려동물과 가기 좋아요': 30, '친절해요': 23, '디저트가 맛있어요': 22, '음료가 맛있어요': 20, '사진이 잘 나와요': 17, '컨셉이 독특해요': 15, '인테리어가 멋져요': 12, '아늑해요': 11, '가성비가 좋아요': 10, '뷰가 좋아요': 10, '특별한 메뉴가 있어요': 8, '좌석이 편해요': 2, '음악이 좋아요': 1, '매장이 넓어요': 1, '매장이 청결해요': 1, '대화하기 좋아요': 1, '화장실이 깨끗해요': 1}",46,"""https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230706_175%2F1688635768187BFC6h_JPEG%2FIMG_8176.jpg"""
